hour,day_of_week,is_weekend,access_frequency_24h,time_since_last_access_min,location_match,role_level,is_restricted_area,is_first_access_today,sequential_zone_violation,access_attempt_count,time_of_week,hour_deviation_from_norm,geographic_impossibility,distance_between_scans_km,velocity_km_per_min,zone_clearance_mismatch,department_zone_mismatch,concurrent_session_detected,label
5,5,1,9,7,0,1,1,0,1,4,125,6.0,0,0.921,0.132,0,0,0,1
8,1,0,4,180,1,1,0,1,0,0,32,0.0,0,0.0,0.0,0,0,0,0
10,2,0,2,127,1,1,0,1,0,0,58,0.0,0,0.0,0.0,0,0,0,0
7,1,0,2,167,1,1,0,0,0,0,31,0.667,0,0.0,0.0,0,0,0,0
8,0,0,4,127,1,1,0,1,0,0,8,0.0,0,0.0,0.0,0,0,0,0
9,1,0,2,62,1,1,0,0,0,0,33,0.0,0,0.0,0.0,1,0,0,0
12,4,0,2,256,1,1,0,0,0,0,108,0.667,0,0.0,0.0,0,0,0,0
6,4,0,1,132,1,1,0,1,0,0,102,0.667,0,0.0,0.0,0,0,0,0
11,0,0,2,144,1,1,0,0,0,0,11,0.0,0,0.0,0.0,0,0,0,0
9,0,0,2,118,1,2,0,1,0,0,9,0.0,0,0.0,0.0,0,0,0,0
8,1,0,4,199,1,1,0,1,0,0,32,2.0,0,0.0,0.0,0,0,0,0
6,1,0,2,124,1,2,0,1,0,0,30,2.0,0,0.0,0.0,0,0,0,0
8,1,0,4,99,1,1,0,0,0,0,32,1.333,0,0.0,0.0,0,0,0,0
9,0,0,2,103,1,1,0,0,0,0,9,0.667,0,0.0,0.0,0,0,0,0
2,1,0,13,16,0,1,0,0,1,4,26,4.0,0,0.172,0.011,0,0,0,1
10,1,0,2,188,1,1,0,0,0,1,34,0.0,0,0.0,0.0,0,1,0,0
7,0,0,6,137,1,2,0,0,0,0,7,1.333,0,0.0,0.0,0,0,0,0
8,3,0,23,1,0,1,1,0,1,8,80,6.0,1,13.571,13.571,1,1,1,1
9,1,0,3,163,1,1,0,1,0,1,33,0.667,0,0.0,0.0,0,0,0,0
9,3,0,4,94,1,1,0,0,0,0,81,1.333,0,0.0,0.0,0,0,0,0
2,5,1,8,14,0,1,1,0,1,5,122,5.333,0,0.306,0.022,1,0,0,1
9,4,0,2,228,1,1,0,1,0,0,105,1.333,0,0.0,0.0,1,0,0,0
7,1,0,5,124,1,1,0,0,0,0,31,1.333,0,0.0,0.0,0,0,0,0
11,4,0,2,167,1,1,0,1,0,0,107,0.0,0,0.0,0.0,1,1,0,0
10,3,0,2,185,1,2,0,1,0,0,82,1.333,0,0.0,0.0,0,0,0,0
9,0,0,2,126,0,2,0,0,0,0,9,0.667,0,0.4,0.003,0,0,0,0
11,2,0,3,175,1,1,0,0,0,0,59,0.667,0,0.0,0.0,0,0,0,0
9,0,0,1,162,1,1,0,0,1,0,9,0.667,0,0.0,0.0,0,0,0,0
11,1,0,2,31,1,1,0,0,0,0,35,0.667,0,0.0,0.0,0,0,0,0
10,3,0,1,135,1,2,1,1,0,0,82,0.667,0,0.0,0.0,0,0,0,0
8,1,0,2,118,1,1,0,0,0,0,32,1.333,0,0.0,0.0,0,0,0,0
8,2,0,4,111,1,1,0,0,0,0,56,2.0,0,0.0,0.0,1,0,0,0
11,4,0,30,0,0,1,1,0,1,7,107,3.0,1,40.456,404.561,1,1,0,1
11,1,0,4,152,1,1,0,1,0,0,35,1.333,0,0.0,0.0,0,0,0,0
13,2,0,3,139,1,3,0,1,0,0,61,0.667,0,0.0,0.0,0,0,0,0
9,2,0,1,226,1,1,0,0,0,0,57,0.667,0,0.0,0.0,1,0,0,0
8,4,0,36,4,0,1,1,0,1,4,104,3.0,0,0.484,0.121,0,1,0,1
8,4,0,2,177,1,2,0,1,0,0,104,0.0,0,0.0,0.0,0,0,0,0
6,2,0,2,104,1,1,0,0,0,0,54,0.667,0,0.0,0.0,1,0,0,0
9,4,0,1,175,1,2,0,1,0,0,105,0.0,0,0.0,0.0,0,0,0,0
12,1,0,1,309,1,3,1,1,0,0,36,0.667,0,0.0,0.0,0,0,0,0
10,0,0,2,126,1,1,0,0,0,0,10,0.667,0,0.0,0.0,0,0,0,0
7,1,0,3,218,1,1,0,0,0,0,31,0.0,0,0.0,0.0,0,0,0,0
7,1,0,2,98,1,1,0,0,0,0,31,1.333,0,0.0,0.0,0,0,0,0
12,2,0,2,154,1,1,0,0,0,0,60,0.667,0,0.0,0.0,1,0,0,0
9,2,0,4,86,1,2,0,0,0,0,57,0.0,0,0.0,0.0,0,0,0,0
8,2,0,3,165,1,1,0,0,0,0,56,0.667,0,0.0,0.0,0,0,0,0
9,2,0,1,91,1,2,1,0,0,0,57,0.0,0,0.0,0.0,0,0,0,0
8,3,0,2,180,1,2,0,0,0,0,80,0.0,0,0.0,0.0,0,0,0,0
8,4,0,2,76,1,1,0,1,0,1,104,0.0,0,0.0,0.0,0,0,0,0
11,0,0,1,106,1,1,0,0,0,0,11,0.0,0,0.0,0.0,0,0,0,0
9,1,0,4,103,1,1,0,0,0,0,33,0.0,0,0.0,0.0,1,0,0,0
10,2,0,4,134,1,1,0,0,0,0,58,0.0,0,0.0,0.0,1,0,0,0
8,2,0,1,126,1,1,0,0,0,0,56,0.0,0,0.3,0.002,0,0,0,0
9,4,0,3,52,1,1,0,1,0,0,105,0.667,0,0.0,0.0,0,0,0,0
8,3,0,2,128,1,1,0,0,0,0,80,0.0,0,0.0,0.0,0,0,0,0
8,0,0,1,183,1,1,0,0,0,0,8,0.0,0,0.0,0.0,0,0,0,0
7,3,0,2,145,1,1,0,0,0,0,79,2.0,0,0.0,0.0,0,0,0,0
9,1,0,2,48,1,2,1,0,0,1,33,0.0,0,0.0,0.0,0,0,0,0
1,5,1,10,8,0,1,1,0,1,4,121,4.0,0,0.339,0.042,1,1,0,1
2,6,1,10,2,0,1,1,0,1,5,146,4.0,0,0.168,0.084,0,1,0,1
6,2,0,4,172,1,2,0,1,0,0,54,1.333,0,0.0,0.0,0,0,0,0
8,0,0,4,137,1,1,0,0,0,0,8,1.333,0,0.0,0.0,0,0,0,0
8,2,0,5,274,1,2,0,0,0,0,56,0.667,0,0.0,0.0,0,0,0,0
13,1,0,3,47,1,1,0,0,0,0,37,1.333,0,0.0,0.0,0,0,0,0
9,4,0,3,145,1,1,0,0,0,0,105,0.0,0,0.0,0.0,0,0,0,0
10,0,0,5,260,1,1,0,0,1,0,10,2.0,0,0.0,0.0,0,0,0,0
10,0,0,4,216,1,2,1,1,0,0,10,1.333,0,0.0,0.0,0,0,0,0
6,3,0,2,39,1,2,0,0,0,0,78,1.333,0,0.0,0.0,0,0,0,0
12,2,0,3,162,1,2,0,1,0,0,60,2.0,0,0.0,0.0,0,0,0,0
7,3,0,1,118,1,2,0,0,0,0,79,0.667,0,0.0,0.0,0,1,0,0
11,1,0,3,91,1,1,0,1,0,0,35,0.0,0,0.0,0.0,0,0,0,0
8,2,0,3,167,1,1,0,1,0,0,56,0.667,0,0.0,0.0,0,0,0,0
8,2,0,3,204,1,2,0,0,0,0,56,0.0,0,0.0,0.0,0,0,0,0
6,2,0,1,124,1,2,0,0,0,0,54,2.0,0,0.0,0.0,0,0,0,0
8,4,0,2,92,1,2,0,0,0,0,104,0.0,0,0.0,0.0,0,0,0,0
9,4,0,2,141,1,2,0,1,0,0,105,0.0,0,0.0,0.0,0,0,0,0
13,3,0,1,163,1,3,1,0,0,0,85,2.667,0,0.0,0.0,0,0,0,0
9,2,0,3,101,1,1,0,1,0,0,57,0.667,0,0.0,0.0,0,0,0,0
9,2,0,2,124,1,1,0,0,0,0,57,1.333,0,0.0,0.0,0,0,0,0
9,0,0,3,101,1,1,0,0,0,0,9,1.333,0,0.0,0.0,1,0,0,0
9,1,0,4,126,1,1,0,0,0,0,33,1.333,0,0.0,0.0,0,0,0,0
6,1,0,3,104,1,1,0,0,0,0,30,1.333,0,0.0,0.0,0,0,0,0
12,2,0,31,1,1,1,1,0,1,6,60,3.0,0,0.15,0.15,0,1,0,1
8,2,0,2,123,1,1,0,1,0,0,56,0.0,0,0.0,0.0,0,0,0,0
6,4,0,2,212,1,1,0,1,0,0,102,0.667,0,0.0,0.0,0,1,0,0
7,3,0,1,133,1,2,0,1,0,0,79,1.333,0,0.0,0.0,0,0,0,0
12,3,0,1,145,1,1,0,0,0,0,84,0.667,0,0.0,0.0,0,0,0,0
14,1,0,4,176,1,1,0,0,0,0,38,2.0,0,0.0,0.0,0,0,0,0
12,4,0,4,160,1,2,0,0,0,0,108,2.0,0,0.0,0.0,0,0,0,0
9,3,0,1,78,1,1,0,1,1,0,81,0.0,0,0.0,0.0,0,0,0,0
10,2,0,4,235,1,1,0,0,0,0,58,0.667,0,0.0,0.0,0,0,0,0
10,2,0,2,113,1,1,0,1,0,0,58,0.0,0,0.0,0.0,0,0,0,0
9,0,0,4,179,1,1,0,0,0,0,9,1.333,0,0.0,0.0,1,0,0,0
9,3,0,3,275,1,1,0,1,0,0,81,1.333,0,0.0,0.0,0,0,0,0
8,1,0,2,133,1,1,0,0,0,0,32,0.0,0,0.0,0.0,0,0,0,0
10,0,0,2,156,1,2,0,0,0,0,10,0.667,0,0.0,0.0,0,0,0,0
7,3,0,4,271,1,1,0,0,0,0,79,0.667,0,0.0,0.0,0,0,0,0
10,2,0,3,210,1,1,0,1,0,0,58,0.667,0,0.0,0.0,1,0,0,0
6,3,0,3,64,1,2,0,0,0,0,78,1.333,0,0.0,0.0,0,0,0,0
13,0,0,15,2,0,1,1,0,1,9,13,3.0,1,58.435,29.217,1,1,0,1
6,2,0,2,129,1,1,0,0,1,0,54,1.333,0,0.0,0.0,0,0,0,0
9,0,0,4,70,1,1,0,0,0,0,9,1.333,0,0.0,0.0,0,0,0,0
11,2,0,3,206,1,1,0,0,0,0,59,0.667,0,0.0,0.0,0,0,0,0
6,0,0,3,150,1,2,0,1,1,0,6,2.0,0,0.0,0.0,0,0,0,0
9,4,0,3,157,1,1,0,1,0,0,105,1.333,0,0.0,0.0,0,0,0,0
13,0,0,2,166,1,1,0,1,0,0,13,1.333,0,0.0,0.0,0,0,0,0
8,1,0,1,241,1,1,0,1,0,0,32,1.333,0,0.0,0.0,0,1,0,0
9,1,0,3,123,1,3,1,0,0,0,33,0.667,0,0.0,0.0,0,0,0,0
6,4,0,2,146,1,1,0,0,0,0,102,1.333,0,0.0,0.0,0,0,0,0
7,2,0,2,195,1,1,0,0,0,0,55,0.0,0,0.0,0.0,0,0,0,0
11,1,0,3,297,1,1,0,0,0,0,35,0.0,0,0.0,0.0,0,0,0,0
12,3,0,1,211,1,1,0,0,0,0,84,0.667,0,0.0,0.0,0,0,0,0
9,0,0,2,37,1,1,0,1,0,0,9,0.667,0,0.0,0.0,0,0,0,0
8,4,0,3,243,1,2,1,0,0,0,104,0.667,0,0.0,0.0,0,0,0,0
16,5,1,2,278,1,3,1,1,0,1,136,0.667,0,0.0,0.0,0,0,0,0
11,0,0,3,174,1,1,0,0,0,0,11,0.0,0,0.0,0.0,0,0,0,0
11,4,0,2,74,1,1,0,0,0,0,107,0.667,0,0.0,0.0,0,0,0,0
9,0,0,3,260,1,1,0,0,0,0,9,1.333,0,0.0,0.0,0,0,0,0
9,2,0,4,166,1,1,0,0,0,0,57,0.667,0,0.0,0.0,0,0,0,0
10,1,0,2,261,1,1,0,0,0,0,34,1.333,0,0.0,0.0,0,0,0,0
6,3,0,1,192,1,2,0,0,0,0,78,1.333,0,0.0,0.0,0,0,0,0
12,4,0,2,252,1,2,0,1,0,0,108,2.0,0,0.0,0.0,0,0,0,0
7,4,0,4,91,1,1,0,0,0,0,103,0.0,0,0.0,0.0,0,0,0,0
7,0,0,3,191,1,2,1,0,0,0,7,0.667,0,0.0,0.0,0,0,0,0
9,3,0,3,176,1,1,0,0,0,0,81,1.333,0,0.0,0.0,0,0,0,0
12,1,0,3,278,1,1,0,0,0,0,36,2.0,0,0.0,0.0,0,0,0,0
7,2,0,4,175,1,2,0,1,0,0,55,1.333,0,0.0,0.0,0,0,0,0
10,0,0,2,75,1,1,0,1,0,0,10,0.667,0,0.0,0.0,0,0,0,0
8,0,0,2,138,1,1,0,0,0,0,8,0.667,0,0.0,0.0,0,0,0,0
9,3,0,3,157,1,2,0,1,0,0,81,0.0,0,0.0,0.0,0,0,0,0
12,2,0,7,79,0,1,1,0,1,5,60,3.0,0,0.43,0.005,1,1,0,1
11,4,0,2,180,1,2,0,1,0,0,107,1.333,0,0.0,0.0,0,0,0,0
11,2,0,3,75,1,1,0,1,0,0,59,0.667,0,0.0,0.0,0,0,0,0
8,1,0,1,42,1,1,0,0,0,0,32,0.0,0,0.0,0.0,0,0,0,0
12,0,0,2,135,1,1,0,1,0,1,12,0.667,0,0.0,0.0,0,0,0,0
8,0,0,2,113,1,1,0,1,0,0,8,0.667,0,0.0,0.0,0,0,0,0
8,3,0,2,251,1,1,0,1,0,0,80,2.0,0,0.0,0.0,0,0,0,0
14,6,1,3,87,1,3,0,0,1,0,158,0.0,0,0.0,0.0,0,0,0,0
9,2,0,1,265,1,2,0,1,0,0,57,0.667,0,0.0,0.0,0,0,0,0
11,2,0,2,87,1,2,1,1,0,0,59,1.333,0,0.0,0.0,0,0,0,0
6,1,0,2,150,1,1,0,1,0,0,30,1.333,0,0.0,0.0,0,0,0,0
9,4,0,2,139,1,1,0,1,0,0,105,1.333,0,0.0,0.0,0,0,0,0
12,3,0,4,173,1,1,0,0,0,0,84,0.667,0,0.0,0.0,1,0,0,0
11,1,0,3,29,1,3,0,0,0,0,35,0.667,0,0.0,0.0,0,0,0,0
7,0,0,3,132,1,2,0,1,0,0,7,0.667,0,0.0,0.0,0,0,0,0
8,4,0,5,175,1,1,0,0,0,0,104,0.667,0,0.0,0.0,0,0,0,0
8,2,0,3,124,1,1,0,0,0,0,56,0.0,0,0.0,0.0,0,0,0,0
12,3,0,15,2,0,1,1,0,1,5,84,3.0,1,97.024,48.512,1,0,1,1
10,1,0,3,133,1,1,0,0,0,0,34,0.0,0,0.0,0.0,0,0,0,0
9,1,0,3,96,1,1,0,0,0,0,33,0.667,0,0.0,0.0,0,0,0,0
6,0,0,2,144,1,1,0,0,0,0,6,1.333,0,0.0,0.0,0,0,0,0
0,5,1,16,17,0,1,1,0,1,4,120,6.667,0,0.439,0.026,1,1,0,1
8,1,0,3,69,1,1,0,0,0,0,32,0.667,0,0.0,0.0,0,0,0,0
10,4,0,1,94,1,1,0,0,0,0,106,0.0,0,0.0,0.0,1,0,0,0
13,0,0,3,98,1,3,0,0,0,0,13,0.667,0,0.0,0.0,0,0,0,0
4,0,0,9,7,0,1,1,0,1,2,4,4.667,0,0.726,0.104,0,1,0,1
7,2,0,1,227,1,2,0,0,0,0,55,1.333,0,0.0,0.0,0,0,0,0
6,2,0,3,118,1,2,0,0,0,0,54,1.333,0,0.0,0.0,0,1,0,0
12,2,0,3,174,1,1,0,0,0,0,60,0.667,0,0.0,0.0,0,0,0,0
8,1,0,2,163,1,2,0,0,0,0,32,0.0,0,0.0,0.0,0,0,0,0
9,3,0,3,169,1,1,0,1,0,0,81,0.667,0,0.0,0.0,0,0,0,0
6,2,0,4,98,1,1,0,0,0,0,54,0.667,0,0.0,0.0,0,0,0,0
7,3,0,1,83,1,1,0,0,1,0,79,2.0,0,0.0,0.0,1,0,0,0
9,2,0,1,156,1,1,0,1,0,0,57,0.667,0,0.0,0.0,1,0,0,0
9,1,0,2,149,1,1,0,0,0,0,33,0.667,0,0.0,0.0,0,0,0,0
8,4,0,3,195,1,1,0,0,0,0,104,0.0,0,0.0,0.0,0,0,0,0
16,1,0,25,0,0,1,1,0,1,5,40,5.333,1,55.968,559.681,1,1,1,1
11,2,0,1,254,1,1,0,0,0,0,59,0.0,0,0.0,0.0,0,0,0,0
11,3,0,2,178,1,1,0,1,0,0,83,0.0,0,0.0,0.0,0,0,0,0
11,3,0,4,90,1,1,0,1,0,0,83,0.0,0,0.0,0.0,0,0,0,0
12,3,0,3,217,1,1,0,1,0,0,84,0.667,0,0.0,0.0,0,0,0,0
11,0,0,2,70,1,1,0,0,0,0,11,0.667,0,0.0,0.0,0,0,0,0
13,4,0,3,132,1,1,0,0,0,0,109,1.333,0,0.0,0.0,0,0,0,0
9,3,0,3,228,1,3,1,0,0,0,81,0.667,0,0.0,0.0,0,0,0,0
9,2,0,1,211,1,2,0,0,0,0,57,0.0,0,0.0,0.0,0,0,0,0
9,0,0,3,10,1,1,0,0,0,0,9,0.0,0,0.0,0.0,0,0,0,0
6,0,0,3,116,1,1,0,1,0,0,6,1.333,0,0.0,0.0,0,0,0,0
14,2,0,4,111,0,1,1,0,1,2,62,4.0,0,0.387,0.003,1,1,0,1
8,0,0,3,248,1,1,0,0,0,0,8,1.333,0,0.0,0.0,0,0,0,0
10,0,0,4,110,1,1,0,1,0,0,10,0.0,0,0.0,0.0,0,0,0,0
9,3,0,3,128,1,1,0,0,0,0,81,1.333,0,0.0,0.0,0,0,0,0
11,2,0,3,181,1,1,0,1,1,0,59,0.0,0,0.0,0.0,0,0,0,0
11,0,0,4,174,1,1,0,0,0,0,11,0.0,0,0.0,0.0,0,0,0,0
9,1,0,2,164,1,2,0,1,0,0,33,0.667,0,0.0,0.0,0,0,0,0
7,1,0,2,149,1,1,0,0,0,0,31,1.333,0,0.0,0.0,1,0,0,0
8,2,0,2,165,1,2,0,0,0,0,56,0.0,0,0.0,0.0,0,0,0,0
10,1,0,4,115,1,1,0,0,0,0,34,0.667,0,0.0,0.0,0,0,0,0
12,1,0,3,111,1,1,0,1,0,0,36,0.667,0,0.0,0.0,0,0,0,0
15,0,0,4,71,1,3,0,1,0,0,15,1.333,0,0.0,0.0,0,0,0,0
10,0,0,4,75,1,1,0,1,0,0,10,0.667,0,0.0,0.0,0,0,0,0
10,0,0,4,171,1,2,0,0,0,0,10,0.667,0,0.0,0.0,0,0,0,0
8,2,0,4,123,1,1,0,1,0,0,56,1.333,0,0.0,0.0,0,1,0,0
7,0,0,3,10,1,1,0,0,0,0,7,0.0,0,0.0,0.0,0,0,0,0
15,6,1,2,142,1,3,1,0,0,0,159,0.0,0,0.0,0.0,0,0,0,0
9,1,0,1,160,1,1,0,0,0,0,33,1.333,0,0.0,0.0,0,1,0,0
6,0,0,5,203,1,1,0,0,0,0,6,1.333,0,0.0,0.0,0,0,0,0
10,0,0,3,15,1,1,0,1,0,0,10,0.667,0,0.0,0.0,0,0,0,0
16,0,0,22,0,0,1,1,0,1,5,16,4.667,1,45.214,452.136,1,1,1,1
13,1,0,3,194,1,1,0,0,1,0,37,1.333,0,0.0,0.0,1,0,0,0
7,1,0,3,211,1,2,0,0,0,0,31,1.333,0,0.0,0.0,0,0,0,0
11,4,0,1,152,1,1,0,1,0,0,107,0.667,0,0.0,0.0,0,0,0,0
10,3,0,2,104,1,1,0,1,0,0,82,0.667,0,0.0,0.0,1,0,0,0
8,4,0,1,126,1,2,0,0,0,0,104,0.667,0,0.0,0.0,0,0,0,0
7,4,0,2,234,1,2,0,1,0,0,103,0.667,0,0.0,0.0,0,0,0,0
9,2,0,3,128,1,2,0,0,0,0,57,0.0,0,0.0,0.0,0,0,0,0
9,1,0,32,0,0,1,1,0,1,11,33,3.0,1,29.94,299.396,0,0,1,1
8,4,0,3,183,1,1,0,0,0,0,104,0.667,0,0.0,0.0,0,0,0,0
10,1,0,2,168,1,1,0,0,0,0,34,0.667,0,0.0,0.0,0,0,0,0
6,1,0,2,259,1,2,0,0,0,0,30,1.333,0,0.0,0.0,0,0,0,0
8,1,0,2,182,1,1,0,0,1,0,32,0.667,0,0.0,0.0,0,0,0,0
9,1,0,1,248,1,1,0,0,1,0,33,0.667,0,0.0,0.0,0,0,0,0
6,1,0,1,115,1,1,0,0,0,0,30,1.333,0,0.0,0.0,0,0,0,0
11,1,0,3,189,1,1,0,1,0,1,35,0.667,0,0.0,0.0,0,0,0,0
12,1,0,15,2,0,1,1,0,1,8,36,3.0,1,24.892,12.446,0,0,1,1
10,0,0,2,69,1,1,0,1,0,0,10,0.667,0,0.0,0.0,1,0,0,0
6,4,0,5,224,1,1,0,1,0,0,102,0.667,0,0.0,0.0,0,0,0,0
10,2,0,1,210,0,1,0,0,0,0,58,0.0,0,0.4,0.002,0,0,0,0
12,4,0,2,96,1,1,0,0,0,0,108,0.667,0,0.0,0.0,0,0,0,0
10,3,0,1,175,1,1,0,0,0,0,82,0.0,0,0.0,0.0,1,0,0,0
13,3,0,28,1,0,1,1,0,1,6,85,3.0,1,25.052,25.052,0,1,1,1
12,1,0,4,172,1,1,0,1,0,0,36,1.333,0,0.0,0.0,0,1,0,0
7,2,0,4,78,1,1,0,0,0,0,55,0.667,0,0.0,0.0,0,0,0,0
10,2,0,3,146,1,3,1,0,0,0,58,0.0,0,0.0,0.0,0,0,0,0
12,5,1,3,228,1,3,1,0,0,0,132,1.333,0,0.0,0.0,0,0,0,0
9,2,0,3,205,1,1,0,1,1,0,57,0.0,0,0.0,0.0,0,0,0,0
9,4,0,5,189,1,1,0,0,0,0,105,0.667,0,0.0,0.0,0,0,0,0
9,1,0,3,135,1,1,0,0,0,1,33,0.667,0,0.0,0.0,1,0,0,0
9,2,0,3,223,1,1,0,0,0,0,57,0.0,0,0.0,0.0,0,0,0,0
6,1,0,2,176,1,2,0,0,0,0,30,1.333,0,0.0,0.0,0,0,0,0
6,1,0,2,97,1,1,0,1,0,0,30,1.333,0,0.0,0.0,0,0,0,0
10,2,0,3,139,1,2,0,0,0,0,58,0.667,0,0.0,0.0,0,0,0,0
9,1,0,2,128,1,1,0,1,0,0,33,1.333,0,0.0,0.0,0,0,0,0
5,5,1,16,8,0,1,1,0,1,3,125,3.0,0,0.326,0.041,1,1,0,1
15,1,0,18,2,0,1,1,0,1,7,39,4.667,1,24.127,12.063,1,1,1,1
8,3,0,1,198,1,1,0,0,0,0,80,1.333,0,0.0,0.0,0,0,0,0
7,3,0,3,213,1,2,0,1,0,0,79,0.667,0,0.0,0.0,0,0,0,0
10,3,0,2,162,1,1,0,1,0,0,82,0.0,0,0.0,0.0,0,0,0,0
11,1,0,1,197,1,1,0,0,0,0,35,0.0,0,0.0,0.0,0,0,0,0
8,4,0,3,68,1,1,0,0,0,0,104,1.333,0,0.0,0.0,0,1,0,0
9,2,0,1,175,1,2,0,0,0,0,57,0.667,0,0.0,0.0,0,0,0,0
13,2,0,1,209,1,1,0,0,0,0,61,1.333,0,0.0,0.0,0,0,0,0
